backend,GPU,precision,L,blk_x,blk_y,blk_z,BW_GBs
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.930957
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.525225
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.609813
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.380768
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1430.095703
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.347371
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.812794
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.633557
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.700497
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.558629
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.388044
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.893835
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.69453
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1425.028587
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1416.993662
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.224534
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.129261
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.263888
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1428.986076
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.511982
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.213921
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1428.887139
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.796085
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.372299
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.299665
mojo, AMD Instinct MI300A , float64 ,1024,512,1,1,1429.341408
