backend,GPU,precision,L,blk_x,blk_y,blk_z,BW_GBs
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 2032.5708514826954
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 2030.8625459001553
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 2013.0291747861818
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1982.2334321660946
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1987.1380785027734
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1943.3680237104106
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1934.5734664223294
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1918.2279350799497
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1906.9120805195046
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1906.241713522752
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1900.3562515309764
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1894.0229192911054
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1893.721397871656
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1894.335011297199
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1894.4167167932023
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1894.6451105610015
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1896.2118244230926
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1898.3258486150103
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1898.1512527194548
mojo, NVIDIA H100 NVL , float64 , 1024 , 1024 , 1 , 1 , 1896.3167840078945
