backend,GPU,precision,L,blk_x,blk_y,blk_z,BW_GBs
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.3976443771878
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.3961432051688
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.8896184077792
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.6232886386888
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.710541584033
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.2203142946935
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.9991348077651
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.1220840553892
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.3777585743926
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.655861809912
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.561636394321
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1412.1235688466745
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.8152593573818
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.5779213694439
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.7918710406639
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.6907633044113
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.224389252062
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.8849634643268
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.5383727959465
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.2255518963577
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.6580721867092
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.4034590452886
mojo, AMD Instinct MI300A , float64 , 1024 , 256 , 1 , 1 , 1411.897881008002
