backend,GPU,precision,vec_size,routine,BW_GBs
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 748.2021
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3079.9424
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3356.0305
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3609.4346
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3528.5168
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3114.7869
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3204.97
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3553.2715
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3547.402
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3560.1047
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3304.4106
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3545.762
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3459.844
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3556.3315
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3502.7332
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3594.9092
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3375.4426
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3544.6147
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3617.948
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3272.785
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3559.1843
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3576.7073
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3614.7568
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3623.0508
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3397.6592
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3525.2732
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3429.7837
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3574.326
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3322.591
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3638.0269
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3274.3618
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3643.9531
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3375.2305
