backend,GPU,precision,vec_size,routine,BW_GBs
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 2528.8196
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3052.1196
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3080.1367
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3066.94
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3064.3142
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3070.255
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3062.9155
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3049.5193
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3058.379
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3074.6506
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3013.7415
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3059.2505
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3078.7236
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3066.2393
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3064.8215
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3075.1968
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3060.4712
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3049.5193
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3071.4844
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3049.5193
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3050.0217
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3075.725
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3058.3616
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3061.3438
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3073.612
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3053.4912
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3064.3142
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3074.4922
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3061.5183
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3060.2966
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3079.96
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3080.8438
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3068.1494
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3068.5176
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3084.7205
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3068.167
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3056.8118
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3070.6238
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3062.741
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3061.1692
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3081.1973
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3064.489
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 2837.8691
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3079.9424
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3063.2651
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3062.374
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3065.189
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3063.2476
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3061.3438
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3081.7102
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3059.599
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3064.1394
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3070.0793
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3087.044
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3009.5178
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3067.2905
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3072.5566
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3054.2034
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3057.6648
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3074.8445
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3054.3596
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3060.6458
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3079.7656
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3062.374
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3063.0903
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3078.8826
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3060.1223
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3061.85
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3069.3948
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3043.1064
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3066.7473
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3069.3948
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3066.7473
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3058.379
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3068.3247
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3058.379
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3057.839
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3056.6377
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3078.194
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3061.5183
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3067.6235
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3073.964
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3064.664
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3065.8892
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3077.6648
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3055.942
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3058.379
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3056.4463
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3072.9084
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3063.2476
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3059.2505
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3077.312
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3002.2644
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3066.2393
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3078.706
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3056.1157
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3054.881
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3075.725
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3044.8323
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3059.2505
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3069.3772
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3079.077
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3060.8027
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3048.9824
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3073.964
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3066.0466
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3047.9612
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3079.7656
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3059.2505
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3055.4202
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3085.9617
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3063.0903
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3063.0903
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3079.077
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3059.599
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3059.4248
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3077.4883
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3054.0295
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3071.3088
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3049.5193
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3055.0723
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3065.014
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3083.1438
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3063.2476
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3060.1223
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3066.9224
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3069.3948
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 2993.893
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3054.7246
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3079.2534
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3054.5334
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3055.942
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3076.06
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3059.4248
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3054.377
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3075.0205
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3057.6824
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3058.379
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3067.4656
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3059.0762
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3063.073
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3064.8215
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3061.1692
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3060.8027
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3075.725
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3063.6147
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3056.1157
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3051.582
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3072.0293
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3036.583
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3063.947
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3063.9644
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3065.3464
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3062.5662
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3080.296
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3057.8564
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3054.8984
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3061.3438
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3061.5007
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3064.664
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3075.549
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3055.942
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3062.3914
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3079.589
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3074.4922
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3050.7148
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3060.1223
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3074.6682
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3054.7246
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3065.539
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3080.6492
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3003.793
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3024.7612
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3074.6682
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3064.664
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3060.2966
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3076.4302
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3059.0586
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3027.5073
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3074.6506
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3065.014
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3060.6282
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3083.3208
Mojo, NVIDIA H100 NVL , float64 , 33554432 , Copy , 3058.1875
