backend,GPU,natoms,ngauss,exec_time_ms
Mojo, AMD Instinct MI300A , 256 , 3 , 25735.015392
Mojo, AMD Instinct MI300A , 256 , 3 , 26021.252156
Mojo, AMD Instinct MI300A , 256 , 3 , 26300.572817
Mojo, AMD Instinct MI300A , 256 , 3 , 26079.888393
Mojo, AMD Instinct MI300A , 256 , 3 , 26054.736104
Mojo, AMD Instinct MI300A , 256 , 3 , 26071.37228
Mojo, AMD Instinct MI300A , 256 , 3 , 26933.669298
Mojo, AMD Instinct MI300A , 256 , 3 , 25773.48564
Mojo, AMD Instinct MI300A , 256 , 3 , 26250.140453
Mojo, AMD Instinct MI300A , 256 , 3 , 26311.565912
backend,GPU,natoms,ngauss,exec_time_ms
Mojo, AMD Instinct MI300A , 128 , 3 , 2929.506587
Mojo, AMD Instinct MI300A , 128 , 3 , 3232.5137
Mojo, AMD Instinct MI300A , 128 , 3 , 2908.480566
Mojo, AMD Instinct MI300A , 128 , 3 , 2975.380931
Mojo, AMD Instinct MI300A , 128 , 3 , 2919.887397
Mojo, AMD Instinct MI300A , 128 , 3 , 2773.669375
Mojo, AMD Instinct MI300A , 128 , 3 , 2794.929758
Mojo, AMD Instinct MI300A , 128 , 3 , 3000.354881
Mojo, AMD Instinct MI300A , 128 , 3 , 3184.11044
Mojo, AMD Instinct MI300A , 128 , 3 , 2891.627853
backend,GPU,natoms,ngauss,exec_time_ms
Mojo, AMD Instinct MI300A , 64 , 3 , 454.231535
Mojo, AMD Instinct MI300A , 64 , 3 , 450.603713
Mojo, AMD Instinct MI300A , 64 , 3 , 446.82166
Mojo, AMD Instinct MI300A , 64 , 3 , 462.001532
Mojo, AMD Instinct MI300A , 64 , 3 , 469.571708
Mojo, AMD Instinct MI300A , 64 , 3 , 443.124488
Mojo, AMD Instinct MI300A , 64 , 3 , 452.90669
Mojo, AMD Instinct MI300A , 64 , 3 , 439.172504
Mojo, AMD Instinct MI300A , 64 , 3 , 455.613389
Mojo, AMD Instinct MI300A , 64 , 3 , 466.33883
backend,GPU,natoms,ngauss,exec_time_ms
HIP,AMD Instinct MI300A,256,3,177.644165
HIP,AMD Instinct MI300A,256,3,177.763321
HIP,AMD Instinct MI300A,256,3,177.820587
HIP,AMD Instinct MI300A,256,3,244.555145
HIP,AMD Instinct MI300A,256,3,177.656815
HIP,AMD Instinct MI300A,256,3,177.757233
HIP,AMD Instinct MI300A,256,3,177.676987
HIP,AMD Instinct MI300A,256,3,177.707993
HIP,AMD Instinct MI300A,256,3,189.461533
HIP,AMD Instinct MI300A,256,3,177.866043
backend,GPU,natoms,ngauss,exec_time_ms
HIP,AMD Instinct MI300A,128,3,22.866367
HIP,AMD Instinct MI300A,128,3,22.858728
HIP,AMD Instinct MI300A,128,3,22.869528
HIP,AMD Instinct MI300A,128,3,22.879736
HIP,AMD Instinct MI300A,128,3,22.908855
HIP,AMD Instinct MI300A,128,3,22.885937
HIP,AMD Instinct MI300A,128,3,22.879778
HIP,AMD Instinct MI300A,128,3,22.932581
HIP,AMD Instinct MI300A,128,3,22.882660
HIP,AMD Instinct MI300A,128,3,22.906942
backend,GPU,natoms,ngauss,exec_time_ms
HIP,AMD Instinct MI300A,64,3,3.785032
HIP,AMD Instinct MI300A,64,3,3.712392
HIP,AMD Instinct MI300A,64,3,3.737992
HIP,AMD Instinct MI300A,64,3,3.731953
HIP,AMD Instinct MI300A,64,3,3.672111
HIP,AMD Instinct MI300A,64,3,3.721952
HIP,AMD Instinct MI300A,64,3,3.715912
HIP,AMD Instinct MI300A,64,3,3.700192
HIP,AMD Instinct MI300A,64,3,3.690032
HIP,AMD Instinct MI300A,64,3,3.715112
