backend,GPU,natoms,ngauss,exec_time_ms
Mojo, NVIDIA H100 NVL , 256 , 3 , 187.804912
Mojo, NVIDIA H100 NVL , 256 , 3 , 187.769481
Mojo, NVIDIA H100 NVL , 256 , 3 , 187.793252
Mojo, NVIDIA H100 NVL , 256 , 3 , 187.803261
Mojo, NVIDIA H100 NVL , 256 , 3 , 187.797852
Mojo, NVIDIA H100 NVL , 256 , 3 , 187.807252
Mojo, NVIDIA H100 NVL , 256 , 3 , 187.777861
Mojo, NVIDIA H100 NVL , 256 , 3 , 187.788312
Mojo, NVIDIA H100 NVL , 256 , 3 , 187.819962
Mojo, NVIDIA H100 NVL , 256 , 3 , 187.824331
backend,GPU,natoms,ngauss,exec_time_ms
Mojo, NVIDIA H100 NVL , 128 , 3 , 20.992753
Mojo, NVIDIA H100 NVL , 128 , 3 , 21.005824
Mojo, NVIDIA H100 NVL , 128 , 3 , 20.978513
Mojo, NVIDIA H100 NVL , 128 , 3 , 21.003844
Mojo, NVIDIA H100 NVL , 128 , 3 , 21.024023
Mojo, NVIDIA H100 NVL , 128 , 3 , 21.037354
Mojo, NVIDIA H100 NVL , 128 , 3 , 21.024214
Mojo, NVIDIA H100 NVL , 128 , 3 , 21.033384
Mojo, NVIDIA H100 NVL , 128 , 3 , 21.024874
Mojo, NVIDIA H100 NVL , 128 , 3 , 21.011233
backend,GPU,natoms,ngauss,exec_time_ms
Mojo, NVIDIA H100 NVL , 64 , 3 , 2.701248
Mojo, NVIDIA H100 NVL , 64 , 3 , 2.704709
Mojo, NVIDIA H100 NVL , 64 , 3 , 2.702868
Mojo, NVIDIA H100 NVL , 64 , 3 , 2.706559
Mojo, NVIDIA H100 NVL , 64 , 3 , 2.701628
Mojo, NVIDIA H100 NVL , 64 , 3 , 2.708469
Mojo, NVIDIA H100 NVL , 64 , 3 , 2.727138
Mojo, NVIDIA H100 NVL , 64 , 3 , 2.717049
Mojo, NVIDIA H100 NVL , 64 , 3 , 2.704329
Mojo, NVIDIA H100 NVL , 64 , 3 , 2.704058
backend,GPU,natoms,ngauss,exec_time_ms
CUDA,NVIDIA H100 NVL,256,3,473.674103
CUDA,NVIDIA H100 NVL,256,3,472.279755
CUDA,NVIDIA H100 NVL,256,3,472.329254
CUDA,NVIDIA H100 NVL,256,3,472.227844
CUDA,NVIDIA H100 NVL,256,3,472.226746
CUDA,NVIDIA H100 NVL,256,3,472.300690
CUDA,NVIDIA H100 NVL,256,3,472.218689
CUDA,NVIDIA H100 NVL,256,3,472.237640
CUDA,NVIDIA H100 NVL,256,3,472.286652
CUDA,NVIDIA H100 NVL,256,3,472.238464
backend,GPU,natoms,ngauss,exec_time_ms
CUDA,NVIDIA H100 NVL,128,3,53.441666
CUDA,NVIDIA H100 NVL,128,3,52.803616
CUDA,NVIDIA H100 NVL,128,3,52.806561
CUDA,NVIDIA H100 NVL,128,3,52.745983
CUDA,NVIDIA H100 NVL,128,3,52.764385
CUDA,NVIDIA H100 NVL,128,3,52.817024
CUDA,NVIDIA H100 NVL,128,3,52.788960
CUDA,NVIDIA H100 NVL,128,3,52.762367
CUDA,NVIDIA H100 NVL,128,3,52.787777
CUDA,NVIDIA H100 NVL,128,3,52.801762
backend,GPU,natoms,ngauss,exec_time_ms
CUDA,NVIDIA H100 NVL,64,3,7.339296
CUDA,NVIDIA H100 NVL,64,3,6.804768
CUDA,NVIDIA H100 NVL,64,3,6.792512
CUDA,NVIDIA H100 NVL,64,3,6.806048
CUDA,NVIDIA H100 NVL,64,3,6.810496
CUDA,NVIDIA H100 NVL,64,3,6.803392
CUDA,NVIDIA H100 NVL,64,3,6.783328
CUDA,NVIDIA H100 NVL,64,3,6.767584
CUDA,NVIDIA H100 NVL,64,3,6.789088
CUDA,NVIDIA H100 NVL,64,3,6.776288
