backend,GPU,ppwi,wgsize,sum_ms,avg_ms,min_ms,max_ms,stddev_ms,gflops/s
Mojo, NVIDIA H100 NVL , 1 , 1 , 17891.572 , 178.91571 , 178.89627 , 179.00949 , 0.017916203 , 357.5292105921501
Mojo, NVIDIA H100 NVL , 2 , 1 , 12066.104 , 120.66103 , 120.6235 , 121.04514 , 0.04856902 , 463.8981020494188
Mojo, NVIDIA H100 NVL , 4 , 1 , 9177.005 , 91.77005 , 91.17476 , 93.19292 , 0.30901775 , 566.3923189364832
Mojo, NVIDIA H100 NVL , 8 , 1 , 8152.661 , 81.52661 , 80.558495 , 84.00859 , 1.2801967 , 613.0459165364937
Mojo, NVIDIA H100 NVL , 16 , 1 , 9184.325 , 91.843254 , 91.06526 , 92.420334 , 0.45183372 , 533.3043376735257
Mojo, NVIDIA H100 NVL , 32 , 1 , 13535.088 , 135.35088 , 132.92386 , 138.17815 , 1.6165774 , 358.18637510277784
Mojo, NVIDIA H100 NVL , 64 , 1 , 23537.998 , 235.37999 , 233.89117 , 236.71835 , 0.55096614 , 204.90720166727894
Mojo, NVIDIA H100 NVL , 128 , 1 , 42470.047 , 424.70047 , 421.5152 , 431.36258 , 1.7404393 , 113.27079336077492
Mojo, NVIDIA H100 NVL , 1 , 8 , 2424.8542 , 24.248543 , 24.240135 , 24.274157 , 0.006561028 , 2637.997231783505
Mojo, NVIDIA H100 NVL , 2 , 8 , 1776.8167 , 17.768166 , 17.718931 , 18.764229 , 0.10443801 , 3150.264740032621
Mojo, NVIDIA H100 NVL , 4 , 8 , 1541.841 , 15.418409 , 15.359665 , 17.63021 , 0.224138 , 3371.15499930834
Mojo, NVIDIA H100 NVL , 8 , 8 , 1764.9117 , 17.649118 , 17.576996 , 19.952692 , 0.23386714 , 2831.8446443610433
Mojo, NVIDIA H100 NVL , 16 , 8 , 2852.3594 , 28.523594 , 28.387268 , 28.552309 , 0.021781959 , 1717.18938687279
Mojo, NVIDIA H100 NVL , 32 , 8 , 5231.005 , 52.310047 , 52.19333 , 52.47075 , 0.074159645 , 926.7979528247967
Mojo, NVIDIA H100 NVL , 64 , 8 , 9871.091 , 98.71091 , 98.50129 , 98.90487 , 0.10198669 , 488.6090875652662
Mojo, NVIDIA H100 NVL , 128 , 8 , 19497.63 , 194.97632 , 194.68419 , 195.10234 , 0.11831553 , 246.72823482475974
Mojo, NVIDIA H100 NVL , 1 , 64 , 702.23755 , 7.0223756 , 6.996848 , 7.592122 , 0.062694415 , 9109.11048117864
Mojo, NVIDIA H100 NVL , 2 , 64 , 780.1465 , 7.801465 , 7.778114 , 7.854115 , 0.014462594 , 7174.861503090388
Mojo, NVIDIA H100 NVL , 4 , 64 , 1025.9225 , 10.259224 , 10.23489 , 10.28722 , 0.020011151 , 5066.449938911999
Mojo, NVIDIA H100 NVL , 8 , 64 , 1611.2078 , 16.112078 , 16.059273 , 18.474476 , 0.23850958 , 3101.993367776213
Mojo, NVIDIA H100 NVL , 16 , 64 , 2845.6475 , 28.456474 , 28.104235 , 28.549208 , 0.053940356 , 1721.2394613204492
Mojo, NVIDIA H100 NVL , 32 , 64 , 5194.3496 , 51.943497 , 51.604256 , 52.579113 , 0.32365996 , 933.3379665472752
Mojo, NVIDIA H100 NVL , 64 , 64 , 10085.564 , 100.855644 , 100.562035 , 101.362854 , 0.1654988 , 478.2186203812183
Mojo, NVIDIA H100 NVL , 128 , 64 , 19571.574 , 195.71574 , 194.92871 , 196.49283 , 0.42090437 , 245.79600154260012
CUDA-fastmath,NVIDIA H100 NVL,1,1,25209.412,252.094,252.070,252.153,0.017,253.745
CUDA-fastmath,NVIDIA H100 NVL,2,1,14854.754,148.548,148.538,148.579,0.008,376.812
CUDA-fastmath,NVIDIA H100 NVL,4,1,10102.178,101.022,100.982,101.126,0.020,514.521
CUDA-fastmath,NVIDIA H100 NVL,8,1,8238.700,82.387,82.299,82.426,0.018,606.644
CUDA-fastmath,NVIDIA H100 NVL,16,1,12537.278,125.373,125.321,125.437,0.021,390.678
CUDA-fastmath,NVIDIA H100 NVL,32,1,8680.369,86.804,86.647,86.953,0.064,558.511
CUDA-fastmath,NVIDIA H100 NVL,64,1,12881.742,128.817,128.607,129.033,0.086,374.414
CUDA-fastmath,NVIDIA H100 NVL,128,1,25332.651,253.327,251.825,254.748,0.904,189.898
CUDA-fastmath,NVIDIA H100 NVL,1,8,3325.013,33.250,33.238,33.286,0.006,1923.830
CUDA-fastmath,NVIDIA H100 NVL,2,8,2045.243,20.452,20.447,20.481,0.004,2736.810
CUDA-fastmath,NVIDIA H100 NVL,4,8,1387.263,13.873,13.868,13.879,0.002,3746.791
CUDA-fastmath,NVIDIA H100 NVL,8,8,1172.640,11.726,11.705,11.748,0.010,4262.138
CUDA-fastmath,NVIDIA H100 NVL,16,8,2917.112,29.171,29.134,29.242,0.042,1679.072
CUDA-fastmath,NVIDIA H100 NVL,32,8,3837.744,38.377,38.327,38.504,0.061,1263.264
CUDA-fastmath,NVIDIA H100 NVL,64,8,6566.824,65.668,65.494,65.978,0.131,734.465
CUDA-fastmath,NVIDIA H100 NVL,128,8,10715.370,107.154,106.954,107.366,0.104,448.945
CUDA-fastmath,NVIDIA H100 NVL,1,64,912.053,9.121,9.095,9.146,0.019,7013.586
CUDA-fastmath,NVIDIA H100 NVL,2,64,665.806,6.658,6.640,6.680,0.012,8407.015
CUDA-fastmath,NVIDIA H100 NVL,4,64,608.216,6.082,6.065,6.100,0.013,8545.949
CUDA-fastmath,NVIDIA H100 NVL,8,64,927.036,9.270,9.242,9.327,0.028,5391.330
CUDA-fastmath,NVIDIA H100 NVL,16,64,2916.729,29.167,29.115,29.228,0.045,1679.293
CUDA-fastmath,NVIDIA H100 NVL,32,64,3837.249,38.372,38.326,38.478,0.059,1263.427
CUDA-fastmath,NVIDIA H100 NVL,64,64,6813.845,68.138,67.670,68.579,0.379,707.839
CUDA-fastmath,NVIDIA H100 NVL,128,64,10877.954,108.780,108.598,109.063,0.109,442.235
CUDA-no-fastmath,NVIDIA H100 NVL,1,1,27965.371,279.654,279.634,279.699,0.012,228.739
CUDA-no-fastmath,NVIDIA H100 NVL,2,1,18096.312,180.963,180.945,181.079,0.015,309.314
CUDA-no-fastmath,NVIDIA H100 NVL,4,1,13294.638,132.946,132.932,132.985,0.009,390.969
CUDA-no-fastmath,NVIDIA H100 NVL,8,1,12613.106,126.131,126.119,126.192,0.012,396.251
CUDA-no-fastmath,NVIDIA H100 NVL,16,1,15937.483,159.375,159.276,159.642,0.090,307.328
CUDA-no-fastmath,NVIDIA H100 NVL,32,1,12967.593,129.676,129.492,129.913,0.108,373.861
CUDA-no-fastmath,NVIDIA H100 NVL,64,1,25217.207,252.172,251.623,253.074,0.402,191.262
CUDA-no-fastmath,NVIDIA H100 NVL,128,1,47952.556,479.526,470.081,496.007,5.926,100.320
CUDA-no-fastmath,NVIDIA H100 NVL,1,8,3840.207,38.402,38.366,38.459,0.024,1665.733
CUDA-no-fastmath,NVIDIA H100 NVL,2,8,2638.312,26.383,26.374,26.418,0.005,2121.600
CUDA-no-fastmath,NVIDIA H100 NVL,4,8,1878.063,18.781,18.774,18.810,0.004,2767.631
CUDA-no-fastmath,NVIDIA H100 NVL,8,8,1949.761,19.498,19.454,19.555,0.027,2563.368
CUDA-no-fastmath,NVIDIA H100 NVL,16,8,3716.360,37.164,37.109,37.250,0.057,1317.967
CUDA-no-fastmath,NVIDIA H100 NVL,32,8,5814.047,58.140,58.037,58.287,0.079,833.857
CUDA-no-fastmath,NVIDIA H100 NVL,64,8,11900.671,119.007,118.856,119.176,0.099,405.280
CUDA-no-fastmath,NVIDIA H100 NVL,128,8,20407.790,204.078,203.741,204.280,0.149,235.724
CUDA-no-fastmath,NVIDIA H100 NVL,1,64,1150.550,11.506,11.477,11.535,0.020,5559.739
