backend,GPU,ppwi,wgsize,sum_ms,avg_ms,min_ms,max_ms,stddev_ms,gflops/s
Mojo, AMD Instinct MI300A , 1 , 1 , 23531.393 , 235.31393 , 234.40395 , 269.38614 , 4.230949 , 271.83937068963564
Mojo, AMD Instinct MI300A , 2 , 1 , 17817.807 , 178.17807 , 177.95856 , 187.77411 , 0.9670302 , 314.1488259432793
Mojo, AMD Instinct MI300A , 4 , 1 , 16134.509 , 161.3451 , 160.1489 , 167.8948 , 2.5095654 , 322.1532512591657
Mojo, AMD Instinct MI300A , 8 , 1 , 20149.29 , 201.49289 , 198.52643 , 287.4941 , 9.278313 , 248.04624807671365
Mojo, AMD Instinct MI300A , 16 , 1 , 24638.959 , 246.3896 , 245.6284 , 270.8221 , 3.108955 , 198.79251930438477
Mojo, AMD Instinct MI300A , 32 , 1 , 36217.945 , 362.17944 , 359.6026 , 422.1141 , 8.022661 , 133.8586323960444
Mojo, AMD Instinct MI300A , 64 , 1 , 64378.75 , 643.78754 , 637.0847 , 831.4035 , 23.213852 , 74.91766274176061
Mojo, AMD Instinct MI300A , 128 , 1 , 122203.12 , 1222.0312 , 1209.3801 , 1263.0487 , 8.712185 , 39.36573749914788
Mojo, AMD Instinct MI300A , 1 , 64 , 1261.0463 , 12.610463 , 12.5571 , 14.472372 , 0.2503053 , 5072.58086079892
Mojo, AMD Instinct MI300A , 2 , 64 , 1819.372 , 18.19372 , 18.141235 , 21.29278 , 0.31168738 , 3076.580035164237
Mojo, AMD Instinct MI300A , 4 , 64 , 2657.1104 , 26.571102 , 26.552073 , 26.61092 , 0.008680721 , 1956.179554427636
Mojo, AMD Instinct MI300A , 8 , 64 , 5710.5796 , 57.105797 , 56.97943 , 60.94843 , 0.5364004 , 875.209987734378
Mojo, AMD Instinct MI300A , 16 , 64 , 9088.064 , 90.880646 , 90.75411 , 94.62326 , 0.4659595 , 538.9531614118805
Mojo, AMD Instinct MI300A , 32 , 64 , 22573.678 , 225.73679 , 223.3025 , 291.85132 , 7.6385436 , 214.76709305996667
Mojo, AMD Instinct MI300A , 64 , 64 , 43901.203 , 439.01202 , 434.40973 , 518.09 , 9.409625 , 109.86272184001888
Mojo, AMD Instinct MI300A , 128 , 64 , 86651.43 , 866.5143 , 855.6931 , 893.50604 , 4.737815 , 55.51686625013766
Mojo, AMD Instinct MI300A , 1 , 8 , 3220.9382 , 32.20938 , 31.955057 , 35.130184 , 0.79402345 , 1985.9925066592195
Mojo, AMD Instinct MI300A , 2 , 8 , 4468.498 , 44.68498 , 44.641853 , 45.1963 , 0.05282161 , 1252.6453243343922
Mojo, AMD Instinct MI300A , 4 , 8 , 5206.588 , 52.06588 , 51.978664 , 56.730274 , 0.4692606 , 998.3092618076743
Mojo, AMD Instinct MI300A , 8 , 8 , 7746.3237 , 77.46324 , 77.41934 , 77.51553 , 0.019027533 , 645.2035190678788
Mojo, AMD Instinct MI300A , 16 , 8 , 11007.83 , 110.0783 , 109.48334 , 110.475525 , 0.258627 , 444.95973146851037
Mojo, AMD Instinct MI300A , 32 , 8 , 23329.87 , 233.2987 , 230.75734 , 283.96634 , 6.384898 , 207.80587714437743
Mojo, AMD Instinct MI300A , 64 , 8 , 41940.48 , 419.4048 , 414.70697 , 438.9365 , 4.5347643 , 114.99881607937444
Mojo, AMD Instinct MI300A , 128 , 8 , 89293.34 , 892.93335 , 875.0713 , 965.23083 , 12.329802 , 53.87429246493895
